id,image,title,description,code,users,type,difficulty,upVotes,created,published,freeToUse,businessOnly,headerImage,creator
1,https://tryhackme-images.s3.amazonaws.com/room-icons/f9dbbfc2dadce39c2ce9a592a0389d38.png,Intro to Offensive Security,Hack your first website (legally in a safe environment) and experience an ethical hacker's job.,introtooffensivesecurity,624074,walkthrough,info,18972,2022-03-08T00:24:26.496Z,2022-04-25T15:27:19.251Z,True,False,https://assets.tryhackme.com/room-banners/intro-to-offensive-security.png,ben
2,https://tryhackme-images.s3.amazonaws.com/room-icons/1616670bad7fd5b1b335edb119adae92.png,Learning Cyber Security,Get a short introduction to a few of the security topics you'll be learning about.,beginnerpathintro,428418,walkthrough,easy,13188,2021-05-28T10:11:44.410Z,2021-05-29T12:55:49.234Z,True,False,https://tryhackme.com/img/banners/default_tryhackme.png,ben
3,https://tryhackme-images.s3.amazonaws.com/room-icons/5d653d7a4e8a1a6d98379168cfc30ac0.png,Nmap,"An in depth look at scanning with Nmap, a powerful network scanning tool.",furthernmap,294965,walkthrough,easy,13046,2020-11-02T18:17:40.335Z,2020-11-29T16:47:26.543Z,True,False,https://assets.tryhackme.com/room-banners/nmap.png,MuirlandOracle
4,https://tryhackme-images.s3.amazonaws.com/room-icons/95164927092fe0fc3e9f142aea05267a.png,Introductory Networking,An introduction to networking theory and basic networking tools,introtonetworking,288334,walkthrough,easy,11734,2020-03-24T19:45:34.808Z,2020-03-24T20:02:36.481Z,True,False,https://i.imgur.com/QaCai7k.jpg,MuirlandOracle
5,https://tryhackme-images.s3.amazonaws.com/room-icons/32bb9679c9dacdbb584b75edd7092ffa.png,Advent of Cyber 2022,"Get started with Cyber Security in 24 Days - learn the basics by doing a new, beginner-friendly security challenge every day leading up to Christmas.",adventofcyber4,76948,walkthrough,easy,9275,2022-11-02T11:42:39.581Z,2022-12-23T17:15:09.016Z,True,False,https://assets.tryhackme.com/room-banners/aoc2022.png,tryhackme
6,https://tryhackme-images.s3.amazonaws.com/room-icons/c916cc3206c2199f9b5e9db43d5a15e9.png,Tutorial,Learn how to use a TryHackMe room to start your upskilling in cyber security.,tutorial,575986,walkthrough,easy,9002,2020-08-26T15:34:11.310Z,2020-06-12T20:40:52.474Z,True,False,https://tryhackme.com/img/banners/default_tryhackme.png,tryhackme
7,https://tryhackme-images.s3.amazonaws.com/room-icons/6f94b2910a8f9222ab65dc8b5a92408c.png,Advent of Cyber 3 (2021),"Get started with Cyber Security in 25 Days - Learn the basics by doing a new, beginner friendly security challenge every day leading up to Christmas.",adventofcyber3,70585,walkthrough,easy,8174,2021-11-11T23:39:47.599Z,2021-12-25T17:15:09.016Z,True,False,https://assets.tryhackme.com/room-banners/aoc2021.png,tryhackme
8,https://tryhackme-images.s3.amazonaws.com/room-icons/a3965d04160e266d168f5a0a9d4eb01a.png,Introductory Researching,A brief introduction to research skills for pentesting.,introtoresearch,260683,walkthrough,easy,7597,2020-03-29T16:54:33.544Z,2020-03-29T21:26:08.513Z,True,False,/img/banners/default_tryhackme.png,MuirlandOracle
9,https://tryhackme-images.s3.amazonaws.com/room-icons/2fdf9a0c452d70d070b9f9f9914fba2f.png,Linux Fundamentals Part 1,Embark on the journey of learning the fundamentals of Linux.  Learn to run some of the first essential commands on an interactive terminal.,linuxfundamentalspart1,354410,walkthrough,info,7065,2021-03-18T12:20:54.076Z,2021-05-27T11:01:24.824Z,True,False,https://assets.tryhackme.com/room-banners/linuxfund.png,tryhackme
10,https://tryhackme-images.s3.amazonaws.com/room-icons/85dee7ce633f5668b104d329da2769c3.png,Vulnversity,"Learn about active recon, web app attacks and privilege escalation.",vulnversity,234912,walkthrough,easy,7026,2019-08-01T16:43:14.858Z,2020-03-21T11:50:16.527Z,True,False,https://i.imgur.com/JFYfwL8.png,tryhackme
